City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
669,Desdunes,HT,76.8,clear sky,19.2955,-72.646,Tèmitan
670,Kuala Terengganu,MY,84.2,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
672,Yarada,IN,83.89,clear sky,17.65,83.2667,Jeevan
673,Biak,ID,81.23,overcast clouds,-0.9131,122.8766,Penginapan Kim
678,Longhua,CN,88.68,broken clouds,23.6137,114.1919,Huadu Hotel
681,Inhambane,MZ,73.17,light rain,-23.865,35.3833,Oceano
683,Oranjestad,AW,80.6,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
687,Carutapera,BR,75.13,light rain,-1.195,-46.02,Lidera
691,Santa Marta,CO,84.0,broken clouds,11.2408,-74.199,Casa de Isabella
692,Bartica,GY,75.2,light rain,6.4,-58.6167,Relax Inn Hotel
694,Bodden Town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
695,Hambantota,LK,77.0,scattered clouds,6.1241,81.1185,Bungalow 63
703,Rajgarh,IN,86.86,scattered clouds,28.6333,75.3833,Nand Plaza Hotel & Bar
710,Lom Sak,TH,87.8,broken clouds,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
712,Jian,CN,82.06,few clouds,27.1172,114.9793,Luling International Hotel
715,Fort Wellington,GY,76.51,light rain,6.4,-57.6,TE'AMO Entertainment Park
